time,gFx,gFy,gFz,TgF,wypadkowa
0.0030,0.1669,-0.993,0.0349,1.8,0.62599744
0.0030,0.1662,-0.994,0.0337,1.8,0.63059481
0.0030,0.1652,-0.9935,0.0327,1.8,0.63297936
0.0080,0.1657,-0.9932,0.032,1.7,0.63282025
0.0100,0.165,-0.9937,0.0305,1.8,0.63712324
0.0150,0.1635,-0.9942,0.029,1.8,0.64272289
0.0220,0.1625,-0.9957,0.0283,1.9,0.64786401
0.0250,0.1616,-0.9957,0.0281,1.9,0.649636
0.0300,0.1616,-0.9959,0.0278,1.9,0.65044225
0.0350,0.1618,-0.9971,0.0268,1.11,0.65367225
0.0420,0.1628,-0.9971,0.0268,1.11,0.65205625
0.0450,0.1628,-0.9947,0.0273,1.8,0.64738116
0.0500,0.1638,-0.994,0.0288,1.8,0.64224196
0.0670,0.1642,-0.9932,0.03,1.7,0.638401
0.0680,0.165,-0.9937,0.0303,1.8,0.63744256
0.0680,0.1662,-0.993,0.0307,1.7,0.63377521
0.0700,0.1677,-0.9922,0.0312,1.7,0.62932489
0.0750,0.1696,-0.992,0.032,1.7,0.62473216
0.0810,0.1696,-0.9918,0.032,1.7,0.62441604
0.0860,0.1701,-0.9913,0.0325,1.6,0.62204769
0.0900,0.1701,-0.9925,0.0327,1.7,0.62362609
0.0960,0.1699,-0.992,0.0332,1.7,0.62236321
0.1000,0.1696,-0.9925,0.0337,1.7,0.62283664
0.1050,0.1689,-0.9927,0.0349,1.8,0.62236321
0.1140,0.1686,-0.9935,0.0356,1.8,0.62299449
0.1150,0.1694,-0.9937,0.0364,1.9,0.62078641
0.1210,0.1684,-0.9944,0.0373,1.9,0.62204769
0.1260,0.1667,-0.9949,0.0373,1.9,0.62552281
0.1300,0.1667,-0.994,0.0373,1.9,0.6241
0.1350,0.1662,-0.9937,0.0364,1.8,0.62583921
0.1460,0.1657,-0.994,0.0359,1.8,0.62789776
0.1470,0.1657,-0.9944,0.0339,1.9,0.63170704
0.1510,0.1647,-0.9944,0.0332,1.9,0.63441225
0.1570,0.1645,-0.9947,0.0325,1.9,0.63632529
0.1610,0.1655,-0.9935,0.031,1.8,0.635209
0.1680,0.1657,-0.9937,0.03,1.8,0.636804
0.1700,0.1667,-0.9935,0.0303,1.8,0.63441225
0.1890,0.1669,-0.9935,0.0295,1.8,0.63536841
0.1890,0.1677,-0.9935,0.029,1.8,0.63489024
0.1900,0.1664,-0.9932,0.0281,1.7,0.63792169
0.1920,0.1672,-0.993,0.0276,1.7,0.63712324
0.1960,0.1669,-0.993,0.0266,1.7,0.63920025
0.2010,0.1672,-0.9925,0.0263,1.7,0.638401
0.2120,0.1672,-0.9925,0.0266,1.7,0.63792169
0.2130,0.1662,-0.9932,0.0263,1.7,0.64112049
0.2160,0.1655,-0.9932,0.0261,1.7,0.64256256
0.2210,0.1655,-0.9944,0.0273,1.8,0.64256256
0.2280,0.1652,-0.9952,0.0276,1.9,0.64384576
0.2310,0.1645,-0.9962,0.0288,1.1,0.64464841
0.2450,0.164,-0.9952,0.0293,1.9,0.64304361
0.2460,0.1638,-0.9959,0.0298,1.1,0.64368529
0.2460,0.1645,-0.9964,0.03,1.1,0.64304361
0.2500,0.165,-0.9952,0.031,1.9,0.63872064
0.2570,0.165,-0.9947,0.0312,1.9,0.63760225
0.2610,0.1662,-0.9932,0.0325,1.8,0.63123025
0.2660,0.1662,-0.993,0.0329,1.7,0.63027721
0.2710,0.1664,-0.9932,0.0334,1.8,0.62948356
0.2860,0.1682,-0.9927,0.0337,1.7,0.62536464
0.2870,0.1686,-0.9905,0.0332,1.5,0.62204769
0.2870,0.1696,-0.9903,0.0325,1.5,0.62125924
0.2910,0.1706,-0.9913,0.0312,1.6,0.62331025
0.2960,0.1704,-0.9918,0.0315,1.7,0.62394201
0.3010,0.1704,-0.9922,0.031,1.7,0.62536464
0.3070,0.1701,-0.9932,0.031,1.8,0.62742241
0.3110,0.1701,-0.9935,0.0307,1.8,0.62837329
0.3160,0.1694,-0.994,0.03,1.9,0.63138916
0.3200,0.1686,-0.9942,0.0303,1.9,0.63250209
0.3250,0.1674,-0.9942,0.0312,1.9,0.63297936
0.3320,0.1664,-0.9942,0.031,1.9,0.63489024
0.3360,0.1664,-0.9942,0.0307,1.9,0.63536841
0.3430,0.1655,-0.9947,0.0298,1.9,0.63904036
0.3460,0.1645,-0.9944,0.03,1.8,0.63984001
0.3520,0.164,-0.9942,0.0298,1.8,0.64064016
0.3630,0.1638,-0.994,0.0293,1.8,0.64144081
0.3630,0.1642,-0.9935,0.0283,1.7,0.641601
0.3660,0.1642,-0.9942,0.0281,1.8,0.64304361
0.3710,0.165,-0.9944,0.0278,1.8,0.64256256
0.3760,0.1645,-0.9937,0.0268,1.8,0.64384576
0.3820,0.1652,-0.9927,0.0268,1.7,0.64112049
0.3860,0.1645,-0.9937,0.0283,1.8,0.64144081
0.4210,0.1642,-0.9935,0.0293,1.7,0.64
0.4230,0.1642,-0.9942,0.03,1.8,0.64
0.4230,0.1647,-0.994,0.0305,1.8,0.63808144
0.4240,0.166,-0.9922,0.0305,1.6,0.63313849
0.4240,0.1657,-0.9913,0.031,1.6,0.63138916
0.4250,0.1652,-0.9915,0.032,1.6,0.63091249
0.4270,0.1647,-0.992,0.0329,1.6,0.63107136
0.4270,0.1652,-0.9937,0.0322,1.8,0.63409369
0.4320,0.1655,-0.9944,0.0317,1.9,0.63552784
0.4370,0.1655,-0.994,0.0307,1.8,0.63648484
0.4420,0.1657,-0.9947,0.031,1.9,0.636804
0.4460,0.166,-0.9947,0.0315,1.9,0.63552784
0.4510,0.1655,-0.9954,0.0312,1.1,0.63792169
0.4570,0.1657,-0.9952,0.031,1.9,0.63760225
0.4610,0.1655,-0.9942,0.0305,1.8,0.63712324
0.4660,0.1655,-0.9937,0.0305,1.8,0.63632529
0.4710,0.1667,-0.9932,0.0303,1.8,0.63393444
0.4760,0.1667,-0.993,0.0298,1.7,0.63441225
0.4810,0.1672,-0.9927,0.03,1.7,0.63282025
0.4860,0.1669,-0.9935,0.0293,1.8,0.63568729
0.5020,0.1669,-0.9932,0.029,1.8,0.63568729
0.5040,0.1677,-0.9935,0.0285,1.8,0.63568729
0.5050,0.1684,-0.9937,0.0278,1.8,0.63600625
0.5070,0.1691,-0.9944,0.0283,1.9,0.635209
0.5530,0.1689,-0.9937,0.0288,1.8,0.633616
0.5540,0.1686,-0.9935,0.029,1.8,0.63345681
0.5540,0.1679,-0.9932,0.03,1.8,0.63250209
0.5540,0.1669,-0.9935,0.031,1.8,0.63297936
0.5550,0.1662,-0.9927,0.0315,1.7,0.632025
0.5550,0.1657,-0.9927,0.0325,1.7,0.63123025
0.5560,0.1647,-0.9935,0.0329,1.8,0.63345681
0.5560,0.1642,-0.9937,0.0329,1.8,0.63457156
0.5560,0.1647,-0.994,0.0329,1.8,0.63425296
0.5570,0.1647,-0.9952,0.0325,1.9,0.636804
0.5620,0.164,-0.9964,0.0329,1.1,0.63920025
0.5670,0.1628,-0.9964,0.0327,1.1,0.64144081
0.5720,0.1638,-0.9947,0.0329,1.9,0.636804
0.5770,0.164,-0.9927,0.0334,1.7,0.63250209
0.5820,0.1647,-0.994,0.0342,1.8,0.63218401
0.5870,0.166,-0.9925,0.0356,1.7,0.62552281
0.5920,0.1674,-0.9905,0.0361,1.5,0.619369
0.5980,0.1679,-0.9903,0.0359,1.5,0.61858225
0.6020,0.1689,-0.991,0.0356,1.6,0.61858225
0.6170,0.1691,-0.9927,0.0347,1.8,0.62236321
0.6180,0.1704,-0.9932,0.0332,1.8,0.62346816
0.6190,0.1706,-0.994,0.031,1.9,0.62789776
0.6240,0.1704,-0.9957,0.029,1.11,0.63409369
0.6270,0.1696,-0.9954,0.0281,1.1,0.63632529
0.6320,0.1679,-0.9944,0.0278,1.9,0.63792169
0.6370,0.1667,-0.9947,0.0281,1.9,0.63984001
0.6620,0.1647,-0.9942,0.029,1.8,0.64080025
0.6630,0.1638,-0.9937,0.0307,1.8,0.63872064
0.6630,0.1625,-0.9937,0.0325,1.7,0.63792169
0.6640,0.1616,-0.994,0.0339,1.8,0.63760225
0.6640,0.1611,-0.9932,0.0342,1.7,0.63664441
0.6660,0.1591,-0.9935,0.0337,1.7,0.64112049
0.6720,0.1586,-0.993,0.0322,1.6,0.64352484
0.6760,0.1603,-0.9922,0.0303,1.6,0.64256256
0.6820,0.1616,-0.9927,0.0283,1.6,0.64448784
0.6870,0.1633,-0.9932,0.0261,1.7,0.64609444
0.6920,0.1652,-0.994,0.0254,1.8,0.64545156
0.6970,0.1672,-0.9935,0.0249,1.8,0.64224196
0.7020,0.1704,-0.9925,0.0256,1.7,0.63441225
0.7270,0.1728,-0.9918,0.0278,1.7,0.62599744
0.7280,0.1738,-0.9913,0.0317,1.7,0.61748164
0.7290,0.1738,-0.991,0.0349,1.7,0.61199329
0.7300,0.1735,-0.9913,0.0373,1.7,0.60918025
0.7310,0.174,-0.9905,0.0391,1.6,0.60435076
0.7320,0.1735,-0.9905,0.0398,1.6,0.60403984
0.7370,0.1726,-0.9908,0.0391,1.6,0.60699681
0.7570,0.1716,-0.9905,0.0378,1.6,0.61011721
0.7580,0.1701,-0.9922,0.0364,1.7,0.61732449
0.7590,0.1689,-0.9935,0.0344,1.8,0.62441604
0.7590,0.1669,-0.9942,0.0322,1.9,0.63218401
0.7630,0.1652,-0.9947,0.0305,1.9,0.638401
0.7670,0.1635,-0.9959,0.0295,1.1,0.64464841
0.7730,0.1623,-0.9969,0.0285,1.1,0.64979721
0.7780,0.1616,-0.9976,0.0276,1.11,0.65351056
0.7830,0.1606,-0.9971,0.0281,1.1,0.65351056
0.7870,0.1608,-0.9971,0.0285,1.1,0.65254084
0.7920,0.1618,-0.9976,0.0281,1.11,0.65237929
0.7970,0.1613,-0.9954,0.0285,1.9,0.64899136
0.8020,0.1616,-0.9944,0.0285,1.8,0.64689849
0.8070,0.1628,-0.994,0.0283,1.8,0.64464841
0.8120,0.1642,-0.9944,0.0271,1.8,0.64496961
0.8170,0.165,-0.9947,0.0263,1.9,0.64545156
0.8230,0.1667,-0.9944,0.0263,1.9,0.64224196
0.8290,0.1674,-0.9935,0.0256,1.8,0.64080025
0.8330,0.1686,-0.9935,0.0246,1.8,0.64048009
0.8390,0.1677,-0.994,0.0251,1.8,0.64192144
0.8550,0.1686,-0.994,0.0266,1.9,0.63808144
0.8590,0.1696,-0.9942,0.0266,1.9,0.636804
0.8600,0.1701,-0.994,0.0283,1.9,0.63297936
0.8610,0.1706,-0.9932,0.0303,1.8,0.62773929
0.8620,0.1699,-0.993,0.032,1.8,0.62583921
0.8680,0.1706,-0.9927,0.0337,1.8,0.62157456
0.8750,0.1699,-0.9937,0.0354,1.9,0.62157456
0.8790,0.1686,-0.9935,0.0369,1.8,0.620944
0.8830,0.1674,-0.9927,0.0383,1.7,0.619369
0.8880,0.1679,-0.9922,0.0383,1.7,0.617796
0.9340,0.1674,-0.992,0.0378,1.7,0.61905424
0.9340,0.1664,-0.9922,0.0373,1.7,0.62173225
0.9350,0.1669,-0.9922,0.0369,1.7,0.62157456
0.9350,0.1677,-0.992,0.0364,1.7,0.62078641
0.9360,0.1664,-0.9925,0.0347,1.7,0.62631396
0.9360,0.1667,-0.9922,0.0339,1.7,0.62663056
0.9360,0.1667,-0.9925,0.0334,1.7,0.62789776
0.9360,0.1664,-0.9922,0.0332,1.7,0.62821476
0.9370,0.1677,-0.994,0.0337,1.9,0.62821476
0.9390,0.1669,-0.9954,0.0329,1.1,0.63297936
0.9450,0.1662,-0.9952,0.0325,1.9,0.63441225
0.9470,0.166,-0.9957,0.032,1.1,0.63632529
0.9530,0.165,-0.9952,0.0315,1.9,0.63792169
0.9590,0.1638,-0.9944,0.0303,1.8,0.64048009
0.9620,0.1645,-0.9944,0.029,1.8,0.64144081
0.9680,0.164,-0.9952,0.0278,1.9,0.64545156
0.9730,0.1638,-0.9944,0.0268,1.8,0.64609444
0.9790,0.1633,-0.9944,0.0268,1.8,0.64689849
0.9830,0.1633,-0.9949,0.0263,1.9,0.64850809
0.9880,0.1638,-0.9949,0.0263,1.9,0.64770304
1.0010,0.1645,-0.9949,0.0256,1.9,0.64770304
1.0030,0.1647,-0.9954,0.0256,1.9,0.64818601
1.0040,0.1647,-0.9942,0.0266,1.8,0.64464841
1.0560,0.1662,-0.9937,0.0268,1.8,0.64112049
1.0570,0.1674,-0.994,0.0276,1.8,0.638401
1.0580,0.1672,-0.9935,0.0278,1.8,0.63760225
1.0580,0.1672,-0.9944,0.0288,1.9,0.63744256
1.0580,0.1679,-0.9942,0.0293,1.9,0.635209
1.0590,0.1682,-0.9944,0.03,1.9,0.63393444
1.0590,0.1686,-0.9932,0.031,1.8,0.62980096
1.0590,0.1694,-0.9925,0.031,1.7,0.62742241
1.0600,0.1691,-0.9925,0.0315,1.7,0.62710561
1.0600,0.1686,-0.993,0.0325,1.8,0.62710561
1.0610,0.1674,-0.992,0.0337,1.7,0.62552281
1.0630,0.1667,-0.9922,0.0351,1.7,0.62473216
1.0680,0.1664,-0.9925,0.0364,1.7,0.62362609
1.0730,0.1672,-0.9922,0.0361,1.7,0.62236321
1.0780,0.1674,-0.9932,0.0351,1.8,0.62520649
1.0830,0.1672,-0.994,0.0359,1.9,0.62552281
1.0880,0.1672,-0.9942,0.0347,1.9,0.62773929
1.0950,0.166,-0.9942,0.0349,1.9,0.62932489
1.0980,0.1657,-0.9942,0.0342,1.8,0.63091249
1.1040,0.1657,-0.993,0.0329,1.7,0.63107136
1.1210,0.166,-0.992,0.032,1.6,0.630436
1.1230,0.1655,-0.991,0.032,1.5,0.62964225
1.1240,0.166,-0.992,0.0317,1.6,0.63091249
1.1700,0.1679,-0.993,0.0307,1.8,0.63107136
1.1700,0.1686,-0.993,0.0303,1.8,0.63059481
1.1710,0.1689,-0.9935,0.0293,1.8,0.63250209
1.1710,0.1691,-0.9942,0.029,1.9,0.63377521
1.1710,0.1684,-0.994,0.0281,1.9,0.63600625
1.1720,0.1682,-0.9944,0.0266,1.9,0.63936016
1.1720,0.1684,-0.9957,0.0254,1.1,0.64304361
1.1720,0.1679,-0.9949,0.0249,1.9,0.64336441
1.1730,0.1669,-0.9944,0.0251,1.9,0.64384576
1.1730,0.165,-0.9937,0.0256,1.8,0.64496961
1.1730,0.1642,-0.9937,0.0256,1.8,0.64625521
1.1780,0.1633,-0.9937,0.0259,1.7,0.64722025
1.1830,0.1628,-0.9954,0.0273,1.9,0.64850809
1.1870,0.162,-0.9944,0.0285,1.8,0.64625521
1.1940,0.162,-0.9954,0.0285,1.9,0.64786401
1.1980,0.1618,-0.9959,0.029,1.9,0.64818601
1.2020,0.1613,-0.9962,0.0293,1.1,0.64899136
1.2120,0.1618,-0.9974,0.0305,1.11,0.64818601
1.2130,0.1625,-0.9962,0.03,1.1,0.64593369
1.2180,0.163,-0.9954,0.0295,1.9,0.64464841
1.2230,0.1642,-0.9952,0.0288,1.9,0.64352484
1.2410,0.1652,-0.9942,0.029,1.8,0.64
1.2410,0.1657,-0.9942,0.0295,1.8,0.638401
1.2420,0.1669,-0.9944,0.0303,1.9,0.63552784
1.2430,0.1674,-0.9937,0.0307,1.8,0.63297936
1.2480,0.1672,-0.993,0.032,1.7,0.63011844
1.2530,0.1674,-0.9927,0.0325,1.7,0.62853184
1.2580,0.1672,-0.9927,0.0332,1.7,0.62773929
1.2640,0.1664,-0.992,0.0329,1.6,0.62837329
1.2680,0.1657,-0.992,0.0325,1.6,0.63011844
1.2730,0.1667,-0.992,0.0332,1.6,0.62742241
1.2790,0.1672,-0.9913,0.0325,1.6,0.62663056
1.2840,0.1667,-0.9913,0.0317,1.6,0.62869041
1.2890,0.1664,-0.9908,0.0317,1.5,0.62837329
1.2940,0.1655,-0.991,0.0305,1.5,0.632025
1.2990,0.1662,-0.9915,0.0298,1.6,0.63282025
1.3040,0.1662,-0.991,0.0288,1.5,0.633616
1.3090,0.166,-0.9915,0.0293,1.6,0.63393444
1.3130,0.1655,-0.993,0.0295,1.7,0.636804
1.3190,0.1662,-0.9937,0.0295,1.8,0.636804
1.3230,0.1652,-0.9932,0.03,1.7,0.636804
1.3290,0.1652,-0.9944,0.0305,1.9,0.63792169
1.3340,0.1642,-0.9952,0.0305,1.9,0.64080025
1.3390,0.1645,-0.9949,0.0298,1.9,0.64096036
1.3440,0.1642,-0.9942,0.03,1.8,0.64
1.3490,0.164,-0.9947,0.0293,1.9,0.64224196
1.3540,0.1642,-0.9949,0.0288,1.9,0.64304361
1.3720,0.1645,-0.9959,0.0276,1.1,0.64609444
1.3730,0.1645,-0.9954,0.0266,1.9,0.64689849
1.3740,0.165,-0.9957,0.0251,1.1,0.64899136
1.3760,0.166,-0.9947,0.0239,1.9,0.64770304
1.3810,0.1672,-0.9949,0.0227,1.9,0.648025
1.4340,0.1679,-0.994,0.0232,1.8,0.64464841
1.4360,0.1689,-0.9937,0.0234,1.8,0.64224196
1.4370,0.1691,-0.9937,0.0237,1.8,0.64144081
1.4370,0.1699,-0.994,0.0239,1.9,0.64032004
1.4380,0.1708,-0.9942,0.0249,1.9,0.63760225
1.4380,0.1721,-0.9942,0.0254,1.9,0.63473089
1.4390,0.1721,-0.994,0.0259,1.9,0.633616
1.4400,0.1721,-0.994,0.0266,1.9,0.63250209
1.4410,0.1726,-0.9935,0.0281,1.9,0.62853184
1.4420,0.1726,-0.9922,0.0285,1.8,0.62583921
1.4430,0.1726,-0.9913,0.029,1.7,0.62362609
1.4450,0.1716,-0.9932,0.0295,1.8,0.62742241
1.4460,0.1711,-0.9942,0.0307,1.9,0.62789776
1.4490,0.1713,-0.9949,0.0312,1.1,0.62789776
1.4540,0.1708,-0.9952,0.0315,1.1,0.62869041
1.4600,0.1694,-0.9935,0.0315,1.8,0.62821476
1.4640,0.1677,-0.9942,0.0312,1.9,0.63250209
1.4700,0.1669,-0.994,0.0312,1.8,0.63345681
1.4740,0.1655,-0.9927,0.0307,1.7,0.63441225
