time,gFx,gFy,gFz,TgF
0.006000,-0.0381,0.9668,0.2720,1.005
0.006000,-0.0434,0.9662,0.2636,1.002
0.014000,-0.0507,0.9634,0.2569,0.998
0.058000,-0.0573,0.9622,0.2563,0.997
0.060000,-0.0612,0.9618,0.2560,0.997
0.060000,-0.0608,0.9613,0.2532,0.996
0.061000,-0.0545,0.9622,0.2494,0.995
0.079000,-0.0435,0.9635,0.2525,0.997
0.080000,-0.0335,0.9634,0.2640,0.999
0.095000,-0.0313,0.9618,0.2807,1.002
0.097000,-0.0355,0.9606,0.2940,1.005
0.107000,-0.0423,0.9599,0.2994,1.006
0.119000,-0.0473,0.9576,0.2949,1.003
0.133000,-0.0517,0.9550,0.2843,0.998
0.135000,-0.0553,0.9555,0.2729,0.995
0.151000,-0.0562,0.9579,0.2621,0.995
0.166000,-0.0546,0.9577,0.2546,0.992
0.167000,-0.0533,0.9563,0.2529,0.991
0.183000,-0.0520,0.9554,0.2557,0.990
0.185000,-0.0503,0.9550,0.2645,0.992
0.201000,-0.0503,0.9538,0.2751,0.994
0.216000,-0.0528,0.9516,0.2790,0.993
0.217000,-0.0557,0.9510,0.2761,0.992
0.233000,-0.0561,0.9521,0.2714,0.992
0.236000,-0.0523,0.9524,0.2650,0.990
0.251000,-0.0502,0.9518,0.2571,0.987
0.266000,-0.0511,0.9528,0.2521,0.987
0.267000,-0.0526,0.9550,0.2516,0.989
0.283000,-0.0504,0.9571,0.2529,0.991
0.299000,-0.0472,0.9582,0.2543,0.992
0.300000,-0.0468,0.9577,0.2564,0.993
0.316000,-0.0495,0.9579,0.2596,0.994
0.317000,-0.0522,0.9590,0.2641,0.996
0.332000,-0.0508,0.9584,0.2650,0.996
0.334000,-0.0503,0.9566,0.2626,0.993
0.349000,-0.0539,0.9568,0.2620,0.994
0.366000,-0.0584,0.9578,0.2621,0.995
0.367000,-0.0600,0.9582,0.2612,0.995
0.381000,-0.0591,0.9580,0.2597,0.994
0.399000,-0.0572,0.9567,0.2584,0.993
0.400000,-0.0542,0.9567,0.2588,0.993
0.415000,-0.0507,0.9560,0.2577,0.991
0.416000,-0.0487,0.9593,0.2558,0.994
0.432000,-0.0487,0.9593,0.2606,0.995
0.449000,-0.0508,0.9598,0.2700,0.998
0.450000,-0.0539,0.9580,0.2700,0.997
0.465000,-0.0569,0.9568,0.2763,0.998
0.466000,-0.0596,0.9565,0.2773,0.998
0.481000,-0.0592,0.9565,0.2741,0.997
0.498000,-0.0568,0.9557,0.2664,0.994
0.499000,-0.0550,0.9552,0.2575,0.991
0.515000,-0.0530,0.9567,0.2508,0.990
0.516000,-0.0503,0.9579,0.2477,0.991
0.532000,-0.0489,0.9573,0.2481,0.990
0.557000,-0.0492,0.9565,0.2518,0.990
0.558000,-0.0507,0.9563,0.2585,0.992
0.559000,-0.0534,0.9565,0.2651,0.994
0.574000,-0.0568,0.9561,0.2679,0.995
0.576000,-0.0583,0.9558,0.2665,0.994
0.587000,-0.0581,0.9550,0.2624,0.992
0.594000,-0.0568,0.9545,0.2563,0.990
0.604000,-0.0558,0.9547,0.2503,0.989
0.615000,-0.0536,0.9555,0.2474,0.988
0.624000,-0.0517,0.9565,0.2469,0.989
0.635000,-0.0513,0.9571,0.2493,0.990
0.644000,-0.0537,0.9566,0.2543,0.991
0.657000,-0.0566,0.9561,0.2595,0.992
0.669000,-0.0588,0.9567,0.2626,0.994
0.674000,-0.0596,0.9563,0.2604,0.993
0.685000,-0.0595,0.9552,0.2551,0.990
0.694000,-0.0581,0.9549,0.2482,0.988
0.704000,-0.0567,0.9555,0.2431,0.988
0.715000,-0.0522,0.9569,0.2441,0.989
0.724000,-0.0491,0.9577,0.2488,0.991
0.735000,-0.0490,0.9580,0.2554,0.993
0.745000,-0.0509,0.9598,0.2608,0.996
0.759000,-0.0511,0.9613,0.2625,0.998
0.774000,-0.0490,0.9621,0.2595,0.998
0.776000,-0.0469,0.9629,0.2553,0.997
0.785000,-0.0451,0.9640,0.2530,0.998
0.795000,-0.0432,0.9650,0.2527,0.998
0.804000,-0.0404,0.9655,0.2525,0.999
0.815000,-0.0382,0.9661,0.2543,1.000
0.824000,-0.0387,0.9662,0.2571,1.001
0.835000,-0.0426,0.9660,0.2598,1.001
0.844000,-0.0476,0.9659,0.2617,1.002
0.858000,-0.0506,0.9657,0.2641,1.002
0.874000,-0.0497,0.9656,0.2662,1.003
0.876000,-0.0493,0.9637,0.2645,1.001
0.885000,-0.0517,0.9622,0.2613,0.998
0.895000,-0.0523,0.9628,0.2588,0.998
0.905000,-0.0507,0.9629,0.2559,0.998
0.915000,-0.0485,0.9621,0.2537,0.996
0.925000,-0.0472,0.9607,0.2513,0.994
0.935000,-0.0472,0.9602,0.2483,0.993
0.944000,-0.0483,0.9604,0.2476,0.993
0.959000,-0.0500,0.9596,0.2502,0.993
0.983000,-0.0498,0.9580,0.2543,0.992
0.985000,-0.0492,0.9566,0.2562,0.992
0.986000,-0.0504,0.9552,0.2530,0.989
0.995000,-0.0523,0.9554,0.2459,0.988
1.005000,-0.0537,0.9560,0.2389,0.987
1.015000,-0.0524,0.9563,0.2347,0.986
1.024000,-0.0481,0.9566,0.2332,0.986
1.035000,-0.0446,0.9566,0.2342,0.986
1.045000,-0.0429,0.9566,0.2384,0.987
1.060000,-0.0418,0.9562,0.2450,0.988
1.064000,-0.0414,0.9563,0.2513,0.990
1.074000,-0.0409,0.9563,0.2553,0.991
1.085000,-0.0407,0.9563,0.2557,0.991
1.094000,-0.0435,0.9563,0.2521,0.990
1.105000,-0.0478,0.9576,0.2467,0.990
1.114000,-0.0509,0.9593,0.2410,0.990
1.125000,-0.0531,0.9605,0.2370,0.991
1.144000,-0.0529,0.9612,0.2387,0.992
1.145000,-0.0508,0.9613,0.2436,0.993
1.157000,-0.0503,0.9613,0.2491,0.994
1.165000,-0.0513,0.9624,0.2530,0.996
1.175000,-0.0524,0.9634,0.2549,0.998
1.185000,-0.0540,0.9632,0.2555,0.998
1.195000,-0.0540,0.9632,0.2569,0.998
1.205000,-0.0519,0.9639,0.2573,0.999
1.214000,-0.0517,0.9648,0.2577,1.000
1.224000,-0.0522,0.9651,0.2596,1.001
1.235000,-0.0517,0.9654,0.2599,1.001
1.245000,-0.0507,0.9656,0.2571,1.001
1.281000,-0.0475,0.9664,0.2514,1.000
1.284000,-0.0434,0.9668,0.2459,0.999
1.285000,-0.0425,0.9664,0.2447,0.998
1.286000,-0.0458,0.9653,0.2488,0.998
1.295000,-0.0497,0.9637,0.2537,0.998
1.305000,-0.0545,0.9609,0.2568,0.996
1.316000,-0.0602,0.9598,0.2579,0.996
1.325000,-0.0632,0.9598,0.2581,0.996
1.343000,-0.0601,0.9609,0.2588,0.997
1.345000,-0.0530,0.9611,0.2582,0.997
1.357000,-0.0480,0.9599,0.2565,0.995
1.365000,-0.0491,0.9582,0.2560,0.993
1.375000,-0.0574,0.9563,0.2565,0.992
1.385000,-0.0672,0.9554,0.2569,0.992
1.395000,-0.0737,0.9563,0.2549,0.992
1.404000,-0.0766,0.9577,0.2515,0.993
1.414000,-0.0751,0.9578,0.2470,0.992
1.424000,-0.0699,0.9579,0.2420,0.990
1.442000,-0.0645,0.9576,0.2394,0.989
1.445000,-0.0613,0.9577,0.2373,0.989
1.464000,-0.0583,0.9602,0.2389,0.991
1.466000,-0.0534,0.9629,0.2435,0.995
1.475000,-0.0495,0.9618,0.2456,0.994
1.486000,-0.0464,0.9593,0.2443,0.991
1.495000,-0.0450,0.9594,0.2426,0.991
1.505000,-0.0457,0.9605,0.2456,0.992
1.515000,-0.0470,0.9611,0.2538,0.995
1.525000,-0.0474,0.9620,0.2629,0.998
1.551000,-0.0470,0.9620,0.2681,1.000
1.552000,-0.0452,0.9621,0.2659,0.999
1.554000,-0.0452,0.9612,0.2552,0.996
1.569000,-0.0429,0.9627,0.2552,0.997
1.575000,-0.0434,0.9655,0.2393,0.996
1.585000,-0.0456,0.9694,0.2216,0.995
1.594000,-0.0462,0.9694,0.2108,0.993
1.605000,-0.0461,0.9676,0.2091,0.991
1.615000,-0.0463,0.9666,0.2136,0.991
1.625000,-0.0457,0.9666,0.2185,0.992
1.639000,-0.0468,0.9675,0.2187,0.993
1.644000,-0.0448,0.9667,0.2157,0.992
1.655000,-0.0376,0.9655,0.2122,0.989
