time,gFx,gFy,gFz,TgF
0.002000,-0.1490,0.9787,0.0820,0.993
0.003000,-0.1493,0.9793,0.0821,0.994
0.012000,-0.1499,0.9803,0.0828,0.995
0.022000,-0.1512,0.9813,0.0829,0.996
0.040000,-0.1524,0.9822,0.0842,0.998
0.053000,-0.1538,0.9837,0.0849,0.999
0.054000,-0.1556,0.9847,0.0860,1.001
0.068000,-0.1568,0.9852,0.0876,1.001
0.072000,-0.1576,0.9848,0.0880,1.001
0.082000,-0.1583,0.9841,0.0883,1.001
0.094000,-0.1590,0.9828,0.0880,1.000
0.101000,-0.1594,0.9809,0.0875,0.998
0.112000,-0.1597,0.9789,0.0869,0.996
0.146000,-0.1599,0.9777,0.0864,0.994
0.147000,-0.1606,0.9756,0.0869,0.993
0.147000,-0.1614,0.9739,0.0872,0.991
0.156000,-0.1614,0.9727,0.0872,0.990
0.173000,-0.1612,0.9715,0.0872,0.989
0.175000,-0.1619,0.9709,0.0871,0.988
0.191000,-0.1623,0.9705,0.0867,0.988
0.193000,-0.1614,0.9705,0.0858,0.988
0.206000,-0.1587,0.9709,0.0853,0.987
0.223000,-0.1548,0.9720,0.0843,0.988
0.224000,-0.1515,0.9732,0.0837,0.988
0.240000,-0.1500,0.9743,0.0838,0.989
0.256000,-0.1495,0.9745,0.0834,0.989
0.257000,-0.1496,0.9744,0.0832,0.989
0.273000,-0.1502,0.9737,0.0827,0.989
0.274000,-0.1506,0.9733,0.0816,0.988
0.289000,-0.1506,0.9733,0.0814,0.988
0.292000,-0.1500,0.9736,0.0818,0.988
0.302000,-0.1500,0.9740,0.0844,0.989
0.311000,-0.1498,0.9748,0.0844,0.990
0.339000,-0.1494,0.9750,0.0886,0.990
0.341000,-0.1491,0.9755,0.0886,0.991
0.342000,-0.1495,0.9760,0.0898,0.991
0.352000,-0.1510,0.9756,0.0904,0.991
0.362000,-0.1522,0.9754,0.0909,0.991
0.373000,-0.1526,0.9756,0.0912,0.992
0.381000,-0.1522,0.9765,0.0923,0.993
0.392000,-0.1518,0.9769,0.0925,0.993
0.402000,-0.1504,0.9765,0.0936,0.992
0.411000,-0.1493,0.9754,0.0944,0.991
0.433000,-0.1484,0.9742,0.0956,0.990
0.434000,-0.1485,0.9739,0.0959,0.990
0.448000,-0.1488,0.9749,0.0960,0.991
0.452000,-0.1480,0.9762,0.0958,0.992
0.461000,-0.1478,0.9775,0.0970,0.993
0.473000,-0.1483,0.9786,0.0988,0.995
0.482000,-0.1484,0.9788,0.1004,0.995
0.493000,-0.1489,0.9786,0.1011,0.995
0.502000,-0.1494,0.9784,0.1020,0.995
0.512000,-0.1499,0.9782,0.1026,0.995
0.545000,-0.1506,0.9780,0.1035,0.995
0.547000,-0.1517,0.9781,0.1046,0.995
0.548000,-0.1523,0.9780,0.1060,0.995
0.552000,-0.1531,0.9781,0.1070,0.996
0.566000,-0.1542,0.9783,0.1079,0.996
0.577000,-0.1553,0.9791,0.1092,0.997
0.582000,-0.1566,0.9792,0.1103,0.998
0.592000,-0.1577,0.9791,0.1113,0.998
0.602000,-0.1582,0.9788,0.1112,0.998
0.612000,-0.1584,0.9781,0.1114,0.997
0.641000,-0.1588,0.9773,0.1115,0.996
0.643000,-0.1590,0.9762,0.1113,0.995
0.644000,-0.1598,0.9753,0.1108,0.994
0.652000,-0.1609,0.9751,0.1103,0.994
0.662000,-0.1621,0.9755,0.1105,0.995
0.673000,-0.1626,0.9756,0.1114,0.995
0.682000,-0.1619,0.9758,0.1116,0.995
0.692000,-0.1606,0.9758,0.1112,0.995
0.702000,-0.1601,0.9760,0.1097,0.995
0.713000,-0.1597,0.9758,0.1094,0.995
0.742000,-0.1588,0.9756,0.1092,0.994
0.745000,-0.1579,0.9756,0.1087,0.994
0.746000,-0.1573,0.9756,0.1087,0.994
0.752000,-0.1567,0.9762,0.1080,0.995
0.777000,-0.1546,0.9753,0.1065,0.993
0.778000,-0.1546,0.9753,0.1065,0.993
0.782000,-0.1546,0.9753,0.1065,0.993
0.792000,-0.1545,0.9754,0.1063,0.993
0.802000,-0.1548,0.9759,0.1060,0.994
0.812000,-0.1554,0.9767,0.1060,0.995
0.835000,-0.1559,0.9772,0.1058,0.995
0.838000,-0.1559,0.9769,0.1062,0.995
0.842000,-0.1557,0.9764,0.1066,0.994
0.852000,-0.1554,0.9755,0.1068,0.994
0.863000,-0.1554,0.9745,0.1068,0.993
0.873000,-0.1559,0.9736,0.1073,0.992
0.883000,-0.1560,0.9728,0.1075,0.991
0.892000,-0.1557,0.9726,0.1069,0.991
0.902000,-0.1562,0.9727,0.1070,0.991
0.912000,-0.1566,0.9733,0.1076,0.992
0.941000,-0.1566,0.9743,0.1074,0.993
0.943000,-0.1556,0.9754,0.1076,0.994
0.944000,-0.1545,0.9761,0.1081,0.994
0.952000,-0.1539,0.9765,0.1082,0.994
0.962000,-0.1535,0.9760,0.1096,0.994
0.972000,-0.1533,0.9751,0.1094,0.993
0.982000,-0.1527,0.9747,0.1092,0.993
0.992000,-0.1522,0.9745,0.1102,0.992
1.002000,-0.1522,0.9750,0.1107,0.993
1.012000,-0.1527,0.9753,0.1113,0.993
1.039000,-0.1539,0.9764,0.1118,0.995
1.042000,-0.1543,0.9773,0.1124,0.996
1.043000,-0.1545,0.9781,0.1124,0.997
1.052000,-0.1540,0.9786,0.1125,0.997
1.063000,-0.1531,0.9792,0.1113,0.997
1.073000,-0.1522,0.9793,0.1107,0.997
1.082000,-0.1520,0.9792,0.1099,0.997
1.092000,-0.1513,0.9794,0.1090,0.997
1.103000,-0.1504,0.9795,0.1085,0.997
1.112000,-0.1498,0.9795,0.1083,0.997
1.138000,-0.1498,0.9797,0.1079,0.997
1.140000,-0.1502,0.9795,0.1073,0.997
1.141000,-0.1512,0.9781,0.1071,0.995
1.152000,-0.1524,0.9771,0.1071,0.995
1.164000,-0.1527,0.9775,0.1048,0.995
1.177000,-0.1526,0.9758,0.1102,0.994
1.183000,-0.1535,0.9755,0.1113,0.994
1.193000,-0.1542,0.9756,0.1113,0.994
1.202000,-0.1535,0.9759,0.1094,0.994
1.212000,-0.1527,0.9748,0.1138,0.993
1.237000,-0.1526,0.9744,0.1165,0.993
1.239000,-0.1520,0.9748,0.1184,0.994
1.242000,-0.1506,0.9747,0.1163,0.993
1.252000,-0.1501,0.9732,0.1185,0.992
1.262000,-0.1499,0.9726,0.1186,0.991
1.273000,-0.1498,0.9723,0.1196,0.991
1.282000,-0.1493,0.9728,0.1200,0.991
1.292000,-0.1490,0.9740,0.1198,0.993
1.302000,-0.1494,0.9753,0.1189,0.994
1.312000,-0.1490,0.9767,0.1196,0.995
1.345000,-0.1485,0.9777,0.1200,0.996
1.347000,-0.1472,0.9787,0.1198,0.997
1.347000,-0.1454,0.9791,0.1198,0.997
1.372000,-0.1428,0.9791,0.1190,0.997
1.373000,-0.1412,0.9786,0.1181,0.996
1.374000,-0.1406,0.9776,0.1187,0.995
1.382000,-0.1400,0.9767,0.1192,0.994
1.392000,-0.1396,0.9758,0.1200,0.993
1.402000,-0.1396,0.9744,0.1203,0.992
1.412000,-0.1419,0.9744,0.1206,0.992
1.434000,-0.1419,0.9739,0.1213,0.992
1.438000,-0.1484,0.9727,0.1223,0.992
